Author,Date,Region,Sentence,mbart_translation,nllb_translation
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose cose, e' l'abitudine a fare grandiose, e' l'abitudine a fare grandiose, e' l'abitudine a fare grandiose, e' l'abitudine a fare grandiose, e' l'abitudine a fare grandiose, a fare grandiose, e' l'abitudine a fare grandiose, e' l'abitudine a fare grandiose, a fare grandiose, e' l'abitudine a fare grandiose, a fare grandi","E il fatto di fare cose grandi, cioè di mantenere la pace e di amare Dio e il prossimo, di costruire città, castelli e palazzi"
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Quello che non sa amare il prossimo come lui stesso inizia a temere i giudizi di Dio.,Chi ancora non sa amare il prossimo come se stesso già comincia a temere il giudizio di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, che ha splendid ali, non esca salvamentementementementementementementementementementementementementementementementementementementementementementementementementementementementementementementementemente.","L'uccello, dopo aver aperto le ali, non fugge senza problemi, né il maiale selvaggio esce dai reticoli dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io apro, e quelli che fuggino. E che cosa serve, che il tuo cuore sia chiuso al tuo marito Cristo?",E che bisogno c'è che il tuo cuore sia chiuso al tuo sposo Cristo?
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E therefore, since these things are, Cattina, and you can't sleep bene, do you dare to get in any land and use this life to scarabocchiare?","E quindi, visto che le cose sono così, Catellina, e tu non puoi benissimo dimorare qui, dubiti di andartene in qualche terra e di usare questa vita fuggendo per quei deserti"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volando controversie in the tribunale, sono morti per la tribù, incoraggiando i padri coscritti.","Questi due, volendo contro la volontà del senato dimorare nell'ufficio del tribunale, furono uccisi dalla plebe, istigata dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette",I don't know. I don't know. I don't know.,"i giovani, a cui la difesa delle province, e la fortuna di tutta la battaglia si impegna"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Nei monti dei Romani si fecero nuovi nemici, contro i quali è combattuto cum different ventura: perké in prima battaglia, da consolato Valerio, MMMD è morto dai Romani.","Da' monti de' Romani si fecero nuovi nemici; contro i quali è combattuto con diversa avventura: perké nella prima battaglia, essendo console Valerio, MMMD ne morì de' Romani;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Siamo stati debiti della città, e siamo stati debiti di fama e di successo.","Siamo stati scacciati e lasciati per debito dalla città, e tutti scacciati dalla fama e dalla buona fortuna."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,Seppelli per me; your preghiere valgono; e seppelli per me; seppelli per me; e seppelli per me.,"Pregate per me gli dei, e le vostre preghiere saranno esaudite. Se voi chiedete: ""Di chi è la fortuna di questa battaglia?"" io non sono vinto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa called Vitermina, and that's what the most sacro-scientifico principe che've mai visto, Scipione, che've mai visto, che've mai visto, che've mai visto, che've mai visto, che've mai visto, che've mai visto, che've mai visto, che've mai visto, che've mai visto.","Una villa chiamata Vitermina, con ciò che era cosa Piusori principi di scherani corse per fortuna a quel tempo a vederlo, Scipione, stimando che venivano per forzarlo, alloggiò in casa"
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, controversy, contro",contro lui e le sue sorelle e il regno e il prestigio della sua generazione e della sua famiglia
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando il navio è stato impinto e messo in alto mare per andare dritto per mezzo, questo trapianto periglio, l'aria è diventata nuvola e piovegina.","Poi la nave fu spinta e portata in alto mare per andare dritta in mezzo a questo pericoloso passaggio, l'aria divenne nuvolosa e piovosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Io salto sull'argilla del fosso, e sull'imbarcazione, se da alto potevano difendersi, o in qualche modo andare oltre e scampire.","o salire sul muro del buco, o salire sul muro, se da un'altura si poteva difendere, o in qualche modo passare oltre e fuggire."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelligenza è più alto. Quindi, oltre la grandezza dell'università, quella semplice forma vede nella sottile vista.","Ma l'occhio dell'intelligenza è più alto, cosicché, oltre la grandezza dell'università, quella stessa semplice forma vede nella sottile visione"
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un nobile membro del corpo dell'uomo, quindi il saluto è un nobile membro del pistolo, allora l'occhio illumina la lettera come l'occhio illumina l'uomo.","E se l'occhio è membro nobile del corpo dell'uomo, quindi il saluto è nobile parte della pistola, c'è altrettanto illumina tutta la lettera come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, who were born of those of Lacedemonia e di quella nobile cittade greci.","Tarentini, che erano nati da quelli di Lacedemonia e fatti da loro nobili città di Greci."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebbe un uomo nobile: Orgentore è stato chiamato per nome.","Ulecois, era un uomo ricco e nobile: Orgentore fu chiamato per nome."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Ma che, nobile cosa e alta è abatte il nulla, ampoi nonn è meno gratificabile sapere che ci sono delle contraddizioni.","Ma se è nobile e nobile abbattere il nemico, non è meno nobile avere pietà."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandro, that's the generous, and the cucciolo, from Phausonia, a gentile ebreo di Macedonia, stand in un punto stretto di guardian, è morto.","Alexandri, che è il genero e 'figlio, da Phausonia, gentile giovanotto di Macedonia, stando in un luogo stretto guardia sana, è stato ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Anche lui è ricco e gentile, ma lamentandosi di avere un'altra moglie che lui.","Qualcuno è ricco e gentile, ma si è lamentato di volere avere un'altra moglie che non quella che ha."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, visto il popolo Gentile, si è detto: ammala, e mangia.","Quando fu mostrato a Pietro il popolo dei Gentili in figura, sì, gli fu detto: ""Ammazza e mangia""."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Permettete me di liberarlo di quella obbligazione, in cui l'aveva abbandonato. Il gentile uomo si sedette, e si liberò, e fece carta.","e lo supplicò di liberarlo dal debito, perché lo aveva lasciato in debito. Il gentile acconsentì e lo liberò, e firmò con lui un contratto."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Che non siamo noi per l'Aquilone, se non la popolazione Gentile congelata dal freddo del peccato, che la popolazione tenne sotto il gioco della sua tirannia.","L'oro verrà da Aquilone, e chi siamo noi per Aquilone se non il popolo dei Gentili congelato dal freddo del peccato, il quale popolo ha tenuto sotto il giogo della sua tirannia"
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","E' in between me e te: none of us can diede più, none of me will sofferre e none of me will leave.","Che sia tra me e te: tu non puoi più dimorare con noi, che io non lo sopporterò e non lo lascerò."
